age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
19,unknown,single,unknown,unknown,no,no,telephone,apr,mon,454,5,26,6,nonexistent,1.4,94.977,-40.3,3.018,5191,no
23,services,married,university.degree,no,no,no,cellular,feb,mon,504,26,999,4,nonexistent,1.4,94.812,-31.9,3.712,4963,no
71,unemployed,single,high.school,no,unknown,no,cellular,jan,wed,88,16,999,6,failure,1.1,94.292,-32.7,1.367,5191,no
21,unemployed,married,university.degree,unknown,no,no,cellular,oct,fri,138,27,999,5,nonexistent,-0.1,94.058,-32.0,3.903,5228,no
71,technician,married,high.school,unknown,unknown,no,cellular,mar,thu,93,9,999,4,nonexistent,-0.1,92.106,-32.2,1.004,5099,yes
80,technician,married,unknown,no,no,yes,cellular,oct,tue,22,25,999,2,nonexistent,1.1,93.6,-27.9,3.65,4963,no
35,student,married,basic.4y,no,unknown,no,cellular,sep,mon,644,15,999,5,nonexistent,-0.1,93.991,-31.7,2.664,4963,no
61,admin.,married,university.degree,no,no,no,cellular,jan,thu,239,22,999,1,nonexistent,-1.8,93.239,-29.5,1.629,5191,no
51,management,married,unknown,unknown,unknown,no,telephone,mar,mon,35,8,999,4,nonexistent,1.4,93.154,-36.2,2.729,5228,no
79,technician,single,university.degree,no,yes,yes,telephone,nov,fri,57,25,999,5,nonexistent,-1.8,93.628,-34.5,4.369,5099,no
31,management,married,university.degree,unknown,yes,yes,telephone,may,fri,149,25,999,5,nonexistent,-1.8,94.72,-26.8,1.306,5228,no
65,unknown,married,high.school,no,no,no,telephone,mar,wed,13,8,999,4,nonexistent,-0.1,92.783,-29.1,1.371,5176,no
32,management,married,university.degree,no,yes,no,cellular,apr,wed,79,29,999,2,nonexistent,1.1,93.197,-31.3,2.964,5228,no
79,retired,married,high.school,unknown,unknown,no,telephone,apr,mon,303,4,999,1,failure,1.1,93.959,-33.5,3.362,5176,no
57,admin.,single,unknown,no,no,no,telephone,jan,mon,632,24,999,6,nonexistent,-1.8,92.558,-41.4,2.466,4963,no
70,unemployed,married,university.degree,no,no,no,cellular,jun,thu,660,2,999,2,nonexistent,1.4,94.505,-36.8,1.794,5228,no
41,unemployed,single,unknown,no,unknown,no,cellular,nov,wed,183,16,999,6,nonexistent,-1.8,93.998,-48.7,0.924,5228,no
43,management,married,basic.4y,no,unknown,no,cellular,dec,fri,93,3,999,4,nonexistent,1.4,93.057,-40.0,0.848,5228,no
77,unemployed,single,unknown,no,unknown,no,cellular,jul,thu,633,9,999,5,success,1.4,94.167,-47.3,0.808,5191,no
58,unknown,married,university.degree,no,no,no,cellular,dec,thu,386,26,999,0,nonexistent,-1.8,92.838,-32.5,4.569,4963,no
46,admin.,married,basic.4y,no,unknown,no,cellular,jul,tue,221,4,999,6,nonexistent,-1.8,94.323,-28.6,1.204,5228,no
32,retired,single,high.school,no,yes,no,telephone,jun,fri,449,2,999,5,nonexistent,-0.1,92.212,-45.8,1.92,5099,no
62,admin.,married,basic.4y,no,no,no,telephone,jul,thu,153,19,999,6,nonexistent,1.4,93.28,-44.1,4.938,4963,no
82,technician,single,university.degree,unknown,unknown,no,cellular,mar,tue,29,23,999,6,nonexistent,-1.8,92.785,-29.4,4.683,5228,no
26,management,single,university.degree,no,no,no,cellular,may,wed,696,25,999,4,failure,-0.1,94.45,-35.9,0.817,5099,no
18,admin.,married,unknown,no,yes,no,telephone,jul,fri,190,15,999,0,nonexistent,1.4,94.258,-35.9,3.039,5191,no
25,unknown,married,high.school,no,yes,no,telephone,oct,wed,297,7,999,3,nonexistent,-1.8,94.526,-36.5,3.398,5099,no
80,unemployed,married,university.degree,no,unknown,unknown,cellular,may,tue,124,8,999,1,failure,1.4,93.955,-44.8,0.866,4963,yes
28,services,divorced,university.degree,unknown,no,no,telephone,oct,fri,36,3,999,5,nonexistent,1.4,94.386,-44.2,3.812,4963,no
25,admin.,single,high.school,unknown,unknown,no,cellular,feb,mon,79,23,999,6,nonexistent,1.1,93.316,-27.2,4.947,5176,no
52,management,married,high.school,no,no,no,cellular,jun,mon,11,15,9,6,nonexistent,-0.1,94.034,-32.6,2.506,5176,no
52,retired,married,unknown,no,unknown,no,telephone,jul,mon,22,1,999,3,success,1.1,92.093,-47.8,2.594,5176,yes
50,unemployed,married,basic.4y,unknown,unknown,no,telephone,nov,thu,57,16,999,2,nonexistent,1.1,94.642,-44.6,3.511,5191,no
22,retired,single,high.school,unknown,no,no,telephone,feb,mon,205,28,26,4,nonexistent,1.1,94.054,-34.9,3.849,4963,no
58,management,married,university.degree,unknown,no,no,cellular,oct,thu,1236,22,999,3,failure,-1.8,94.598,-43.2,4.081,5191,no
45,unemployed,married,high.school,no,yes,no,telephone,aug,thu,464,3,999,1,nonexistent,1.1,94.313,-44.0,0.969,4963,no
24,technician,single,university.degree,unknown,yes,no,cellular,may,tue,22,2,999,0,nonexistent,1.1,92.859,-45.1,4.129,5176,no
29,unemployed,married,unknown,no,no,unknown,cellular,nov,mon,461,15,999,0,nonexistent,1.4,92.819,-45.5,4.406,5176,no
51,technician,married,basic.4y,no,yes,no,cellular,aug,fri,192,4,999,2,nonexistent,1.1,94.399,-35.3,0.828,5099,no
50,retired,divorced,unknown,no,yes,no,cellular,mar,thu,269,27,999,6,nonexistent,1.4,92.554,-28.3,0.801,5176,no
65,retired,single,high.school,no,no,unknown,cellular,feb,tue,34,14,999,2,nonexistent,-0.1,92.332,-41.3,3.037,5176,no
40,management,married,university.degree,no,no,no,telephone,jul,thu,125,9,999,4,nonexistent,1.4,92.045,-47.1,2.801,5228,no
79,technician,married,high.school,unknown,no,no,telephone,may,fri,538,22,999,6,nonexistent,-1.8,92.895,-47.0,4.913,4963,no
54,retired,married,high.school,no,unknown,no,cellular,may,fri,138,28,19,3,nonexistent,1.1,92.298,-27.6,1.917,5176,no
61,technician,married,high.school,no,no,no,cellular,aug,mon,33,9,999,4,nonexistent,-1.8,94.405,-37.3,3.209,5228,yes
52,retired,single,high.school,no,no,yes,telephone,sep,thu,93,14,999,0,nonexistent,-0.1,93.454,-38.8,2.844,5228,no
82,unemployed,married,basic.4y,no,no,no,cellular,aug,fri,62,15,999,0,nonexistent,-1.8,92.758,-28.6,2.971,5228,no
64,admin.,single,university.degree,no,yes,no,telephone,oct,wed,290,24,999,5,nonexistent,1.4,93.806,-37.8,3.513,5176,no
20,unknown,divorced,high.school,unknown,no,no,telephone,feb,fri,604,5,999,3,nonexistent,1.1,92.211,-38.5,2.979,5191,no
18,services,married,university.degree,no,yes,yes,telephone,oct,fri,330,24,999,4,nonexistent,1.4,94.178,-27.8,0.66,5191,yes
22,unknown,married,basic.4y,no,unknown,no,cellular,nov,thu,463,2,14,6,nonexistent,-1.8,93.504,-38.6,4.317,4963,no
31,unemployed,married,university.degree,no,no,no,telephone,jul,fri,409,24,999,2,nonexistent,1.4,92.019,-40.6,1.509,5191,no
44,student,divorced,university.degree,unknown,no,unknown,cellular,nov,tue,3,17,999,3,nonexistent,-1.8,92.958,-36.0,1.64,5176,yes
26,unknown,single,basic.4y,no,yes,no,cellular,may,fri,33,11,999,5,nonexistent,-1.8,94.251,-26.5,3.462,4963,no
32,admin.,married,high.school,no,unknown,no,cellular,jul,wed,137,13,999,2,nonexistent,-1.8,92.564,-26.9,2.718,4963,no
59,student,single,university.degree,no,no,no,cellular,mar,fri,29,12,14,6,failure,-1.8,94.886,-31.4,3.14,4963,no
68,retired,married,unknown,no,unknown,no,cellular,apr,mon,331,3,15,3,nonexistent,-0.1,94.69,-38.0,2.804,5099,no
80,services,divorced,university.degree,unknown,unknown,yes,telephone,jul,thu,18,23,7,2,nonexistent,1.1,94.335,-28.8,2.456,5176,no
69,services,married,high.school,no,no,no,cellular,feb,wed,134,20,999,1,nonexistent,1.4,92.236,-39.9,2.742,5176,no
21,retired,married,unknown,no,unknown,no,cellular,feb,tue,124,13,999,0,nonexistent,1.4,93.062,-34.6,1.247,5191,no
40,retired,single,high.school,unknown,unknown,unknown,telephone,jan,fri,196,15,999,5,nonexistent,1.4,92.895,-45.7,4.866,5191,yes
32,technician,married,university.degree,no,no,no,telephone,jan,fri,248,11,16,3,nonexistent,-1.8,92.413,-34.1,3.142,5176,yes
60,retired,married,basic.4y,no,yes,no,cellular,dec,tue,734,16,999,5,nonexistent,-1.8,94.999,-43.4,1.883,5099,no
46,management,married,high.school,no,no,no,telephone,jan,fri,79,7,999,6,nonexistent,1.1,92.442,-31.5,3.745,5228,no
53,unknown,married,high.school,no,unknown,no,telephone,jun,mon,274,1,999,6,nonexistent,1.1,92.946,-40.1,4.476,5099,yes
30,retired,married,basic.4y,no,no,no,cellular,may,wed,8,23,999,1,success,1.1,94.64,-40.4,1.926,5099,no
49,management,divorced,university.degree,no,yes,no,telephone,oct,fri,0,19,999,3,nonexistent,1.4,92.433,-32.1,2.048,5191,no
76,retired,married,high.school,unknown,unknown,no,cellular,aug,tue,6,18,999,0,nonexistent,1.1,93.409,-39.8,2.546,5099,no
45,technician,married,university.degree,no,unknown,no,telephone,may,tue,148,9,15,5,success,-1.8,94.927,-32.9,1.58,5191,yes
83,management,single,university.degree,no,yes,yes,telephone,jan,wed,202,18,999,0,nonexistent,1.1,92.742,-29.5,4.169,5191,no
59,unknown,married,university.degree,no,yes,no,cellular,dec,mon,1,3,999,2,nonexistent,-0.1,94.109,-46.7,3.183,4963,no
62,admin.,married,basic.4y,no,unknown,unknown,cellular,aug,wed,126,3,999,5,nonexistent,-1.8,92.24,-38.5,0.879,5099,no
79,management,single,university.degree,no,yes,yes,cellular,jun,fri,10,4,999,0,nonexistent,-0.1,93.803,-27.3,4.986,5099,no
74,unemployed,single,university.degree,no,no,no,cellular,aug,mon,264,16,999,5,nonexistent,1.1,93.017,-30.5,3.143,5099,no
23,technician,single,unknown,no,yes,no,telephone,feb,mon,249,11,999,5,failure,-0.1,94.099,-26.6,4.519,5176,no
45,student,single,unknown,no,no,yes,cellular,oct,tue,383,23,999,6,nonexistent,-1.8,93.299,-29.4,2.822,5228,yes
45,unknown,married,unknown,no,unknown,no,cellular,aug,mon,197,23,999,0,nonexistent,1.4,92.897,-42.6,3.175,5228,no
61,management,divorced,high.school,no,unknown,unknown,telephone,jun,fri,243,15,999,0,nonexistent,-1.8,93.638,-45.7,2.616,5176,yes
47,unemployed,married,high.school,no,unknown,yes,telephone,jan,fri,81,9,999,4,nonexistent,-1.8,92.419,-44.9,2.477,5099,no
79,unemployed,single,unknown,no,unknown,no,telephone,jan,fri,22,26,999,4,nonexistent,-1.8,94.443,-44.8,1.584,5191,no
79,unknown,married,basic.4y,no,unknown,no,telephone,oct,thu,334,8,999,0,nonexistent,-0.1,94.252,-48.2,4.834,5176,no
18,unknown,divorced,basic.4y,yes,yes,no,telephone,dec,mon,236,22,999,6,failure,-1.8,93.635,-28.2,1.424,5191,no
44,unemployed,single,unknown,no,yes,no,cellular,may,mon,696,6,26,5,nonexistent,-1.8,93.101,-37.9,2.93,5176,no
79,retired,single,high.school,unknown,unknown,no,telephone,jul,fri,1132,21,999,6,nonexistent,-1.8,94.746,-47.6,1.011,5099,no
20,unemployed,married,high.school,no,yes,no,cellular,apr,tue,469,18,999,5,failure,1.1,93.903,-31.7,4.971,5099,no
87,retired,married,basic.4y,unknown,yes,yes,telephone,oct,mon,1060,6,999,4,nonexistent,-0.1,92.854,-42.2,3.058,5176,no
44,student,single,university.degree,no,unknown,no,cellular,may,thu,260,6,999,6,nonexistent,1.1,94.42,-48.3,4.19,5099,no
26,technician,single,basic.4y,no,yes,no,telephone,oct,mon,24,12,999,3,nonexistent,-1.8,93.905,-45.4,3.09,4963,no
79,services,married,university.degree,no,unknown,no,cellular,mar,wed,23,5,16,5,nonexistent,1.1,92.381,-34.2,4.148,5176,no
54,retired,divorced,high.school,no,unknown,no,cellular,feb,thu,411,14,999,1,nonexistent,1.4,92.343,-30.9,2.965,5099,no
68,unemployed,single,high.school,no,unknown,unknown,cellular,feb,tue,67,6,999,1,nonexistent,-1.8,94.814,-43.9,2.575,5191,no
61,unemployed,married,unknown,no,unknown,no,cellular,may,thu,15,21,999,4,nonexistent,1.1,92.864,-36.2,2.622,5228,no
41,admin.,single,high.school,unknown,yes,no,cellular,apr,thu,159,27,999,6,nonexistent,-1.8,93.99,-50.0,0.64,5228,no
76,unemployed,married,university.degree,no,yes,no,cellular,feb,mon,94,28,999,1,nonexistent,1.4,92.109,-43.3,2.25,5099,no
49,technician,married,basic.4y,no,no,yes,telephone,may,thu,221,20,7,4,nonexistent,-1.8,93.67,-45.6,4.79,5191,no
69,management,married,unknown,no,no,no,cellular,oct,fri,229,19,999,2,nonexistent,-1.8,92.693,-48.2,3.582,5191,no
79,management,married,university.degree,unknown,unknown,no,cellular,sep,thu,286,14,999,5,nonexistent,1.1,92.419,-38.4,4.647,5228,no
75,unemployed,single,basic.4y,unknown,no,no,telephone,aug,mon,214,1,999,0,nonexistent,-1.8,94.321,-34.9,1.505,4963,no
69,admin.,married,basic.4y,yes,yes,no,cellular,sep,fri,119,27,999,1,nonexistent,1.4,94.429,-48.9,2.776,4963,no
29,retired,single,basic.4y,no,yes,no,telephone,sep,tue,5,20,999,0,nonexistent,1.4,94.146,-46.7,0.781,5176,no
56,technician,single,high.school,no,no,no,cellular,aug,wed,588,29,999,6,success,1.1,92.034,-27.6,3.589,5176,no
19,admin.,single,basic.4y,no,no,unknown,cellular,sep,thu,98,25,999,1,failure,-1.8,92.855,-44.6,4.056,5191,no
20,retired,married,high.school,no,yes,no,cellular,apr,fri,176,23,999,3,nonexistent,-0.1,93.083,-31.8,3.898,5228,no
73,technician,single,basic.4y,no,no,no,cellular,aug,fri,203,7,999,3,nonexistent,-1.8,94.073,-32.1,1.009,5099,no
76,unemployed,married,basic.4y,no,yes,no,telephone,feb,tue,94,7,999,4,nonexistent,-0.1,94.267,-42.3,1.712,5176,no
19,management,married,high.school,no,yes,yes,cellular,sep,tue,92,14,999,0,nonexistent,-1.8,93.884,-45.1,3.496,4963,no
19,technician,married,high.school,no,no,yes,telephone,sep,wed,75,20,999,4,nonexistent,1.4,94.367,-44.1,3.947,5191,no
71,unemployed,married,university.degree,no,no,no,cellular,nov,wed,69,16,999,2,nonexistent,1.4,93.282,-36.4,1.828,5176,yes
18,student,single,basic.4y,unknown,unknown,no,telephone,mar,mon,7,12,999,4,nonexistent,-1.8,93.626,-40.9,2.405,5191,no
36,services,married,high.school,no,unknown,no,telephone,jun,wed,792,23,999,5,success,-1.8,92.193,-38.1,2.165,5099,no
19,technician,single,university.degree,yes,unknown,no,cellular,dec,wed,226,11,6,6,nonexistent,1.4,93.281,-30.5,0.65,5176,no
70,services,married,university.degree,no,unknown,no,telephone,jul,fri,28,18,999,5,nonexistent,-1.8,93.298,-37.9,3.149,5228,yes
61,technician,married,high.school,no,unknown,no,cellular,mar,thu,224,12,999,4,nonexistent,-1.8,93.835,-26.1,3.554,5099,no
49,services,divorced,basic.4y,no,yes,unknown,telephone,may,thu,66,24,14,4,nonexistent,1.1,93.134,-34.0,1.838,4963,no
87,student,single,university.degree,no,no,unknown,telephone,jan,wed,93,10,999,1,nonexistent,1.1,92.715,-45.0,3.636,5191,no
49,management,married,basic.4y,no,yes,no,cellular,nov,mon,403,24,999,1,nonexistent,1.1,92.713,-38.0,1.691,5099,yes
85,unknown,married,basic.4y,unknown,unknown,no,cellular,mar,mon,542,25,999,2,nonexistent,-0.1,92.402,-30.5,3.757,5099,no
72,retired,married,university.degree,no,unknown,no,cellular,dec,thu,300,5,5,0,nonexistent,1.4,94.103,-44.8,2.628,5099,no
73,services,married,high.school,no,no,no,telephone,aug,tue,674,26,999,3,nonexistent,-1.8,93.868,-32.5,4.44,5191,no
34,student,single,basic.4y,no,yes,no,telephone,mar,fri,588,24,999,6,nonexistent,1.4,93.738,-49.2,3.01,5228,no
55,services,single,unknown,no,unknown,yes,telephone,aug,wed,200,2,999,0,nonexistent,-1.8,93.593,-27.4,1.437,5191,no
41,management,married,high.school,yes,unknown,no,cellular,sep,fri,596,10,24,3,nonexistent,-1.8,93.103,-34.1,4.222,5191,no
86,services,divorced,university.degree,no,unknown,no,telephone,jun,wed,196,26,999,1,nonexistent,1.4,94.306,-46.1,4.028,4963,no
87,student,married,unknown,no,unknown,no,telephone,jul,wed,27,24,999,6,failure,-0.1,94.766,-29.0,0.998,5191,no
28,unemployed,married,basic.4y,no,yes,no,cellular,jun,thu,442,26,999,4,nonexistent,-0.1,93.32,-48.0,0.84,5191,no
33,student,married,high.school,unknown,yes,no,cellular,aug,fri,35,16,999,5,nonexistent,-0.1,93.227,-40.3,1.226,5228,no
76,unknown,single,unknown,no,unknown,no,telephone,jul,fri,94,25,21,2,nonexistent,-0.1,92.488,-32.3,4.324,5191,no
87,unknown,married,high.school,unknown,yes,yes,telephone,oct,tue,119,6,999,6,nonexistent,1.1,94.012,-27.5,2.03,5191,yes
20,unknown,married,basic.4y,no,unknown,no,cellular,jan,tue,411,6,17,2,nonexistent,1.4,93.674,-41.6,2.836,5191,no
37,admin.,married,high.school,unknown,no,no,telephone,mar,fri,21,20,999,5,nonexistent,-0.1,94.964,-30.1,3.265,5191,no
76,management,married,unknown,no,no,yes,cellular,mar,tue,147,29,999,2,nonexistent,-0.1,93.753,-45.3,3.879,4963,no
53,unemployed,single,high.school,no,no,yes,telephone,mar,tue,143,24,999,0,nonexistent,-0.1,92.866,-49.2,4.257,4963,no
36,admin.,married,university.degree,no,yes,no,cellular,apr,wed,218,23,24,1,nonexistent,-0.1,93.689,-49.3,2.884,5191,no
84,management,married,university.degree,no,unknown,no,cellular,jan,thu,109,12,999,6,failure,1.1,94.954,-34.2,2.447,5191,no
36,unemployed,single,unknown,no,no,no,cellular,nov,wed,215,9,999,1,nonexistent,-1.8,94.17,-46.3,1.486,4963,no
37,services,divorced,high.school,no,no,no,telephone,feb,tue,1065,17,999,4,nonexistent,-0.1,92.386,-48.8,3.285,4963,no
69,unemployed,divorced,unknown,no,yes,no,cellular,dec,wed,18,10,999,6,failure,1.1,93.029,-26.6,3.033,5191,yes
50,student,married,high.school,unknown,yes,yes,telephone,may,wed,519,8,999,5,nonexistent,1.1,92.896,-44.2,1.902,5191,no
57,admin.,married,basic.4y,no,no,no,cellular,nov,mon,92,24,999,5,nonexistent,1.1,94.57,-38.9,2.58,5228,no
56,services,married,university.degree,no,unknown,no,telephone,jun,wed,156,9,999,0,nonexistent,-1.8,93.833,-35.3,3.862,4963,no
18,student,married,basic.4y,no,unknown,yes,cellular,sep,wed,337,7,999,4,nonexistent,1.4,94.43,-46.5,3.37,4963,no
28,management,divorced,high.school,unknown,unknown,no,cellular,feb,thu,602,25,999,3,nonexistent,-0.1,92.529,-41.4,2.735,4963,no
74,unemployed,married,basic.4y,no,no,no,cellular,dec,fri,2,10,25,1,nonexistent,-1.8,94.724,-34.5,1.82,5176,no
67,student,married,unknown,no,yes,unknown,cellular,sep,mon,271,24,999,2,nonexistent,1.1,92.175,-34.6,3.549,5099,no
40,services,married,unknown,no,unknown,no,telephone,jul,mon,18,25,999,6,nonexistent,-1.8,93.125,-29.8,3.373,4963,no
48,admin.,married,high.school,no,no,no,cellular,sep,mon,186,25,999,5,nonexistent,1.4,92.042,-39.5,2.632,5176,no
59,admin.,single,university.degree,no,no,no,cellular,apr,mon,346,1,999,4,nonexistent,1.1,92.553,-28.6,1.672,5099,no
24,unknown,married,unknown,no,yes,no,cellular,jul,thu,46,19,999,3,failure,1.4,94.887,-33.6,1.394,5099,no
33,unemployed,married,university.degree,no,unknown,no,cellular,jan,fri,360,22,999,2,failure,1.4,92.235,-36.5,2.113,4963,no
77,student,married,high.school,no,no,no,cellular,aug,thu,92,28,999,2,nonexistent,1.1,92.436,-47.2,4.601,5099,no
19,unknown,married,university.degree,no,unknown,yes,cellular,jul,mon,235,11,13,4,failure,-0.1,94.775,-36.2,3.924,5176,no
18,services,married,high.school,no,unknown,no,telephone,jul,fri,268,23,999,4,failure,1.4,94.131,-35.7,4.524,4963,no
65,unknown,single,basic.4y,no,unknown,no,cellular,feb,thu,261,20,999,4,nonexistent,1.1,93.221,-31.8,4.312,5191,no
29,technician,married,high.school,unknown,no,yes,cellular,oct,fri,4,10,999,1,failure,-1.8,92.206,-32.7,2.635,5191,yes
86,management,single,basic.4y,unknown,unknown,unknown,cellular,sep,thu,41,2,2,5,nonexistent,-1.8,94.355,-37.3,2.948,5191,no
54,unknown,divorced,high.school,no,yes,yes,cellular,nov,fri,484,14,999,5,nonexistent,1.4,93.478,-35.8,1.371,5176,no
49,management,divorced,unknown,no,no,no,telephone,aug,thu,702,12,999,0,nonexistent,1.1,92.969,-31.5,3.78,5176,no
26,services,divorced,unknown,no,no,no,telephone,jan,mon,207,4,999,5,nonexistent,1.4,93.082,-41.6,2.474,5099,no
36,technician,married,university.degree,no,unknown,yes,cellular,nov,mon,227,22,999,4,nonexistent,-0.1,93.516,-46.8,1.335,5176,no
